"station","line","lat","lon"
"函館","函館本線",41.77402,140.72655
"五稜郭","函館本線",41.80234,140.73386
"桔梗","函館本線",41.84748,140.72246
"大中山","函館本線",41.86412,140.71397
"七飯","函館本線",41.88775,140.68786
"新函館北斗","函館本線",41.904844,140.648815
"仁山","函館本線",41.93049,140.63527
"大沼","函館本線",41.97301,140.66984
"池田園","函館本線",41.99117,140.70161
"流山温泉","函館本線",42.00411,140.71707
"銚子口","函館本線",42.01608,140.72097
"鹿部","函館本線",42.06338,140.77167
"渡島沼尻","函館本線",42.10696,140.74808
"渡島砂原","函館本線",42.12171,140.68957
"掛澗","函館本線",42.11925,140.64611
"尾白内","函館本線",42.11103,140.61256
"東森","函館本線",42.10661,140.59268
"森","函館本線",42.10859,140.57564
"桂川","函館本線",42.11533,140.5432
"石谷","函館本線",42.13599,140.50618
"本石倉","函館本線",42.15954,140.47219
"石倉","函館本線",42.1734,140.45815
"落部","函館本線",42.18751,140.42102
"野田生","函館本線",42.21624,140.37667
"山越","函館本線",42.23037,140.32826
"八雲","函館本線",42.2525,140.27497
"山崎","函館本線",42.31347,140.27445
"黒岩","函館本線",42.36736,140.28801
"北豊津","函館本線",42.40064,140.29775
"国縫","函館本線",42.43828,140.32023
"中ノ沢","函館本線",42.47865,140.34673
"長万部","函館本線",42.51245,140.37508
"二股","函館本線",42.5762,140.32055
"蕨岱","函館本線",42.62672,140.31325
"黒松内","函館本線",42.66991,140.30571
"熱郛","函館本線",42.67574,140.37471
"目名","函館本線",42.7611,140.46529
"蘭越","函館本線",42.80386,140.52832
"昆布","函館本線",42.79815,140.59578
"ニセコ","函館本線",42.80944,140.68579
"比羅夫","函館本線",42.84791,140.72314
"倶知安","函館本線",42.90077,140.74541
"小沢","函館本線",42.97196,140.67761
"銀山","函館本線",43.04098,140.7153
"然別","函館本線",43.12526,140.73691
"仁木","函館本線",43.15409,140.77083
"余市","函館本線",43.18775,140.79494
"蘭島","函館本線",43.19636,140.85342
"塩谷","函館本線",43.20222,140.92325
"小樽","函館本線",43.19808,140.99317
"南小樽","函館本線",43.18704,141.00713
"小樽築港","函館本線",43.18081,141.02798
"朝里","函館本線",43.17703,141.06302
"銭函","函館本線",43.14375,141.15903
"ほしみ","函館本線",43.13332,141.19209
"星置","函館本線",43.13241,141.21167
"稲穂","函館本線",43.12801,141.22303
"手稲","函館本線",43.12072,141.24286
"稲積公園","函館本線",43.11272,141.25609
"発寒","函館本線",43.09971,141.27742
"発寒中央","函館本線",43.08967,141.29389
"琴似","函館本線",43.08117,141.30799
"桑園","函館本線",43.0705,141.33247
"札幌","函館本線",43.068569,141.350801
"苗穂","函館本線",43.06858,141.37348
"白石","函館本線",43.05567,141.41258
"厚別","函館本線",43.04465,141.46235
"森林公園","函館本線",43.05552,141.48113
